transaction,date,item_code,item,quantity,unit,payment_type,price,income
14028/KSR/UTM/0124,01/03/2024 08:40:31,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,272.0,Sheet,Upfront Payment,"250,00",68000.0
14031/KSR/UTM/0124,01/03/2024 09:10:43,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,6.0,Sheet,Upfront Payment,"250,00",1500.0
4972/JL/UTM/0124,01/03/2024 09:47:52,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,609.0,Sheet,Deposit Payment,"300,00",182700.0
4972/JL/UTM/0124,01/03/2024 09:47:52,PC.000006,PHOTO COPY COLORED HVS F4/A4S 70 GR,35.0,Sheet,Deposit Payment,"450,00",15750.0
14037/KSR/UTM/0124,01/03/2024 10:06:29,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,10.0,Sheet,Upfront Payment,"250,00",2500.0
4973/JL/UTM/0124,01/03/2024 10:17:49,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,98.0,Sheet,Deposit Payment,"300,00",29400.0
14064/KSR/UTM/0124,01/03/2024 12:32:24,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,4.0,Sheet,Upfront Payment,"250,00",1000.0
14070/KSR/UTM/0124,01/03/2024 12:55:22,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,575.0,Sheet,Upfront Payment,"250,00",143750.0
14072/KSR/UTM/0124,01/03/2024 12:57:22,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,540.0,Sheet,Upfront Payment,"250,00",135000.0
14072/KSR/UTM/0124,01/03/2024 12:57:22,PC.000002,PHOTO COPY HVS A3 70 GR,26.0,Sheet,Upfront Payment,"600,00",15600.0
14073/KSR/UTM/0124,01/03/2024 13:06:52,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,295.0,Sheet,Upfront Payment,"250,00",73750.0
14076/KSR/UTM/0124,01/03/2024 13:25:20,PC.000006,PHOTO COPY COLORED HVS F4/A4S 70 GR,80.0,Sheet,Upfront Payment,"300,00",24000.0
14081/KSR/UTM/0124,01/03/2024 14:09:06,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,111.0,Sheet,Upfront Payment,"250,00",27750.0
14087/KSR/UTM/0124,01/03/2024 14:31:40,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,100.0,Sheet,Upfront Payment,"250,00",25000.0
14104/KSR/UTM/0124,01/03/2024 15:46:25,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,45.0,Sheet,Upfront Payment,"250,00",11250.0
14110/KSR/UTM/0124,01/03/2024 16:06:19,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,505.0,Sheet,Upfront Payment,"250,00",126250.0
14115/KSR/UTM/0124,01/03/2024 16:28:08,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,120.0,Sheet,Upfront Payment,"250,00",30000.0
14118/KSR/UTM/0124,01/03/2024 16:41:33,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,544.0,Sheet,Upfront Payment,"250,00",136000.0
14130/KSR/UTM/0124,01/03/2024 17:36:01,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,15.0,Sheet,Upfront Payment,"300,00",4500.0
4993/JL/UTM/0124,01/04/2024 08:46:17,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,456.0,Sheet,Deposit Payment,"300,00",136800.0
4993/JL/UTM/0124,01/04/2024 08:46:17,PC.000006,PHOTO COPY COLORED HVS F4/A4S 70 GR,28.0,Sheet,Deposit Payment,"450,00",12600.0
14141/KSR/UTM/0124,01/04/2024 09:11:05,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,14.0,Sheet,Upfront Payment,"250,00",3500.0
14149/KSR/UTM/0124,01/04/2024 10:02:17,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,60.0,Sheet,Upfront Payment,"250,00",15000.0
14150/KSR/UTM/0124,01/04/2024 10:04:00,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,5.0,Sheet,Upfront Payment,"250,00",1250.0
14164/KSR/UTM/0124,01/04/2024 11:07:17,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,40.0,Sheet,Upfront Payment,"250,00",10000.0
14165/KSR/UTM/0124,01/04/2024 11:12:43,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,80.0,Sheet,Upfront Payment,"250,00",20000.0
14168/KSR/UTM/0124,01/04/2024 11:20:14,PC.000007,PHOTO COPY CARDBOARD F4,134.0,Sheet,Upfront Payment,"1500,00",201000.0
14170/KSR/UTM/0124,01/04/2024 11:24:22,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,80.0,Sheet,Upfront Payment,"250,00",20000.0
14172/KSR/UTM/0124,01/04/2024 11:27:22,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,40.0,Sheet,Upfront Payment,"250,00",10000.0
5002/JL/UTM/0124,01/04/2024 11:40:59,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,71.0,Sheet,Deposit Payment,"300,00",21300.0
5004/JL/UTM/0124,01/04/2024 12:21:32,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,78.0,Sheet,Deposit Payment,"300,00",23400.0
14180/KSR/UTM/0124,01/04/2024 12:26:54,PC.000001,PHOTO COPY HVS F4/A4S 70 GR,58.0,Sheet,Upfront Payment,"250,00",14500.0
